"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:63utRwSs18e2tyTJZFpf0b","Was zur Hölle","spotify:artist:6uotnBX5ysB2Y2FIE6FbPg, spotify:artist:5FZzu4XIx6cr3fvJqSs2sT, spotify:artist:5TiYP3abm39azaCBK7bAcc","BLVCK CROWZ, FOXON, FCKSHT","spotify:album:6qtWhTix51GXh1Acmmlrw9","Was zur Hölle","spotify:artist:6uotnBX5ysB2Y2FIE6FbPg, spotify:artist:5FZzu4XIx6cr3fvJqSs2sT, spotify:artist:5TiYP3abm39azaCBK7bAcc","BLVCK CROWZ, FOXON, FCKSHT","2020-06-12","https://i.scdn.co/image/ab67616d0000b273be89306b5964167fbb3c9b9f","1","1","226352","https://p.scdn.co/mp3-preview/039984ba4c4953a7c06ba5e1d5693c0990b4845d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","QZHN42028245","spotify:user:11126428529","2020-06-12T10:03:21Z"
"spotify:track:2vGmNHTe8ETY5I5JOwd9pz","Warhead","spotify:artist:7ouMAiAAuirToqAJPbAHic","Despersion","spotify:album:41AfJc1ZKVBXiFOA3rHK0R","Warhead","spotify:artist:7ouMAiAAuirToqAJPbAHic","Despersion","2020-06-15","https://i.scdn.co/image/ab67616d0000b27312594f7a965fcfab5d10d493","1","1","273488","https://p.scdn.co/mp3-preview/f98f8764662cd539037bbbc429b34e26ad4fb618?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE2050010","spotify:user:11126428529","2020-06-16T06:14:55Z"
"spotify:track:6V98g714BD5NTiay6OIDF0","Peace","spotify:artist:7ouMAiAAuirToqAJPbAHic","Despersion","spotify:album:41AfJc1ZKVBXiFOA3rHK0R","Warhead","spotify:artist:7ouMAiAAuirToqAJPbAHic","Despersion","2020-06-15","https://i.scdn.co/image/ab67616d0000b27312594f7a965fcfab5d10d493","1","2","319534","https://p.scdn.co/mp3-preview/132dc65f1f7adb198ee245475a305821cefa555d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE2050011","spotify:user:11126428529","2020-06-16T06:21:12Z"
"spotify:track:2EmPcusVTxAIDi5fnxUbJ6","Frenemies - Instrumental","spotify:artist:2DcPGpnRStvxX5m8JHIStN","Tobax","spotify:album:5hgkbBq7YMRNwuO831tFOR","Frenemies EP","spotify:artist:2DcPGpnRStvxX5m8JHIStN","Tobax","2020-06-26","https://i.scdn.co/image/ab67616d0000b2733dc92c8323b9720aaa22f6ab","1","4","297617","https://p.scdn.co/mp3-preview/e5cc141698c92142f5d9110daef839c94ffe537e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","NLCK41068172","spotify:user:11126428529","2020-06-26T18:21:26Z"
"spotify:track:6wCLM8oSas73zxKyELMubE","Vandalism","spotify:artist:5ZIAymQimYIkT08qGsRjoK","Zombie Cats","spotify:album:0VY5h8lgRepquBwWsz9ZhN","Ignescent Chronicles 010","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-06-26","https://i.scdn.co/image/ab67616d0000b273652d411c4d3676d00cba11a5","1","4","206511","https://p.scdn.co/mp3-preview/3cf33fefce6ebbeb0fe4f1eda6c8814d02134bce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE2051049","spotify:user:11126428529","2020-06-26T18:41:15Z"
"spotify:track:6e8BvO7w3GzIzzZHgr1zKF","Enemy","spotify:artist:2ofFiG6LSWmwfyc5aEAKON","Juno","spotify:album:5AcVZCrFcl3pl25gBZykEw","Critters","spotify:artist:2ofFiG6LSWmwfyc5aEAKON","Juno","2020-06-29","https://i.scdn.co/image/ab67616d0000b273c2ada746a2338534230c1ca0","1","3","275862","https://p.scdn.co/mp3-preview/75447be135ec19596bb43041eb6baa084dd2c16b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE2050379","spotify:user:11126428529","2020-07-02T15:45:33Z"
"spotify:track:4vVsuXK5oLIo0fFf5D03Bh","Scanners - Prolix Remix","spotify:artist:1zErXDrChp7heWGAjO00Xl, spotify:artist:3rNP0CUzTxxuNpc3ze8rXV","Audio, Prolix","spotify:album:5t9DVHelBXzb4PRYwwxoEE","Genesis Device Remixes","spotify:artist:1zErXDrChp7heWGAjO00Xl","Audio","2020-07-10","https://i.scdn.co/image/ab67616d0000b273d40f42780a768ae2fb7b4a4e","1","4","260775","https://p.scdn.co/mp3-preview/1df585a555edbe2dcd978c6aa8d78fb12d56b21b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","GBTKW2090834","spotify:user:11126428529","2020-07-11T19:42:04Z"
"spotify:track:0POZNhF6oM8ZnkM1F3KKmH","Top Gun","spotify:artist:5nt1T1w31eTYDPYowvmTpN","Ci-energy","spotify:album:6RxgAYkTwuUYPU56fLXhP9","Top Gun","spotify:artist:5nt1T1w31eTYDPYowvmTpN","Ci-energy","2020-07-05","https://i.scdn.co/image/ab67616d0000b273819ddffd6bf6c4be4f0404de","1","1","262068","https://p.scdn.co/mp3-preview/8330288db9b696a0ee3bf48e4f8b2b82f4bf6bc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE2050776","spotify:user:11126428529","2020-07-11T19:43:56Z"
"spotify:track:2DIJPxJ1A0eiqH5Vstmilg","Upfack","spotify:artist:0qSmL7sKGnptQ7G8512kYy","Freqax","spotify:album:2UyfI1dTEigr5Dv03ULghm","Upfack the Cosmofunk Sloth","spotify:artist:0qSmL7sKGnptQ7G8512kYy","Freqax","2020-07-07","https://i.scdn.co/image/ab67616d0000b273452860c22a154c789fc73ed1","1","2","340114","https://p.scdn.co/mp3-preview/4bc9bf118ea26262e0efdd0e3f5bd52dc2eb07d8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","4","QZAMM1885053","spotify:user:11126428529","2020-07-11T19:58:14Z"
"spotify:track:1ZIvoqz9PK9Rkn416YG75m","Broken - Mefjus Remix","spotify:artist:20DZAfCuP1TKZl5KcY7z3Q, spotify:artist:7dtX3ykcuyVmts2HQnWgSP, spotify:artist:4fHFFvChjfjG7sAseTwiXd, spotify:artist:54qqaSH6byJIb8eFWxe3Pj","SLANDER, Kompany, fknsyd, Mefjus","spotify:album:0xnsN2kipOi0SeQ6QF8t0S","Broken (Remixes)","spotify:artist:20DZAfCuP1TKZl5KcY7z3Q, spotify:artist:7dtX3ykcuyVmts2HQnWgSP","SLANDER, Kompany","2020-07-17","https://i.scdn.co/image/ab67616d0000b273bf54b08db552088152932d76","1","2","334883","https://p.scdn.co/mp3-preview/e7819e57870cea6d84f814b32a3c502dd512146f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","GB7YL2000100","spotify:user:11126428529","2020-07-20T09:31:09Z"
